,open,high,low,close,adjclose,volume,ticker
2000-01-03,148.25,148.25,143.875,145.4375,93.00493621826172,8164300,SPY
2000-01-04,143.53125,144.0625,139.640625,139.75,89.3678207397461,8089800,SPY
2000-01-05,139.9375,141.53125,137.25,140.0,89.52771759033203,12177900,SPY
2000-01-06,139.625,141.5,137.75,137.75,88.08890533447266,6227200,SPY
2000-01-07,140.3125,145.75,140.0625,145.75,93.20474243164062,8066500,SPY
2000-01-10,146.25,146.90625,145.03125,146.25,93.52449798583984,5741700,SPY
2000-01-11,145.8125,146.09375,143.5,144.5,92.40535736083984,7503700,SPY
2000-01-12,144.59375,144.59375,142.875,143.0625,91.48616790771484,6907700,SPY
2000-01-13,144.46875,145.75,143.28125,145.0,92.72510528564453,5158300,SPY
2000-01-14,146.53125,147.46875,145.96875,146.96875,93.98412322998047,7437300,SPY
2000-01-18,145.34375,146.625,145.1875,145.8125,93.24468994140625,6488500,SPY
2000-01-19,145.3125,147.0,145.0,147.0,94.00411987304688,6157900,SPY
2000-01-20,146.96875,146.96875,143.8125,144.75,92.56525421142578,5800100,SPY
2000-01-21,145.5,145.5,144.0625,144.4375,92.36542510986328,6244800,SPY
2000-01-24,145.65625,145.84375,139.40625,140.34375,89.74755096435547,7896900,SPY
2000-01-25,140.515625,141.9375,139.0,141.9375,90.76666259765625,9942500,SPY
2000-01-26,141.0,141.546875,140.09375,140.8125,90.04730224609375,5158100,SPY
2000-01-27,141.84375,142.21875,138.125,140.25,89.6875991821289,10922700,SPY
2000-01-28,139.4375,140.0625,135.53125,135.875,86.88983154296875,11916200,SPY
2000-01-31,135.8125,139.671875,135.0,139.5625,89.24793243408203,10768700,SPY
2000-02-01,139.75,141.6875,138.53125,140.9375,90.127197265625,8419900,SPY
2000-02-02,141.28125,142.25,140.375,141.0625,90.2071533203125,6205900,SPY
2000-02-03,140.875,143.25,140.0,143.1875,91.5660629272461,7997500,SPY
2000-02-04,143.1875,144.0,142.125,142.59375,91.18634796142578,4925400,SPY
2000-02-07,142.5625,142.78125,141.4375,142.375,91.0465087890625,5845800,SPY
2000-02-08,143.96875,144.5625,143.625,144.3125,92.28546905517578,4936400,SPY
2000-02-09,144.46875,144.46875,141.265625,141.28125,90.3470687866211,8511500,SPY
2000-02-10,141.625,142.5625,140.875,141.5625,90.52690124511719,6690600,SPY
2000-02-11,141.84375,141.9375,138.03125,138.6875,88.68836212158203,9849800,SPY
2000-02-14,139.78125,139.78125,138.3125,139.5,89.20799255371094,8528800,SPY
2000-02-15,139.25,141.21875,137.796875,141.078125,90.21713256835938,11078300,SPY
2000-02-16,140.375,140.9375,138.796875,139.0,88.88819885253906,8845400,SPY
2000-02-17,140.4375,140.4375,138.21875,138.28125,88.4286117553711,7584200,SPY
2000-02-18,138.875,138.875,134.625,135.3125,86.5301284790039,9409200,SPY
2000-02-22,135.1875,136.34375,133.53125,134.96875,86.31031799316406,16415400,SPY
2000-02-23,135.625,137.46875,134.5,136.5625,87.3294906616211,12119000,SPY
2000-02-24,136.6875,137.03125,133.09375,133.8125,85.57088470458984,17375000,SPY
2000-02-25,135.1875,136.71875,133.125,133.328125,85.26113891601562,10559900,SPY
2000-02-28,133.375,136.6875,132.71875,136.125,87.04972839355469,13397800,SPY
2000-02-29,136.0625,137.4375,135.75,137.4375,87.88903045654297,8242500,SPY
2000-03-01,137.625,139.0,137.21875,138.4375,88.52853393554688,6868000,SPY
