Ticker,Title,Datetime,Source
aph,Bank of America Securities Sticks to Their Hold Rating for Amphenol (APH),2025-01-15 13:55:28,TipRanks
aph,Amphenol price target raised to $75 from $74 at BofA,2025-01-15 13:50:22,TipRanks
aph,Amphenol price target raised to $90 from $82 at Truist,2024-12-16 18:16:08,TipRanks
aph,Citi updates hardware and storage top picks into year-end,2024-12-10 11:05:49,TipRanks
aph,"Global arms sales rise on demand linked to Ukraine and Gaza wars, Asia tensions",2024-12-02 10:05:47,Seeking Alpha
aph,"Analysts Are Bullish on Top Technology Stocks: Amphenol (APH), Intuit (INTU)",2024-11-22 12:20:07,TipRanks
aph,"Nvidia's results seen as positive for Arista Networks, Amphenol, others: Evercore",2024-11-21 16:47:36,Seeking Alpha
aph,Amphenol management to meet with Truist,2024-11-20 23:00:11,TipRanks
aph,Amphenol declares $0.165 dividend,2024-10-31 12:13:14,Seeking Alpha
aph,Amphenol price target raised to $63 from $60 at TD Cowen,2024-10-25 12:47:06,TipRanks
aph,Amphenol’s AI-Driven Growth and Valuation Uncertainty: A Hold Rating Perspective,2024-10-25 00:25:10,TipRanks
aph,J.P. Morgan Remains a Buy on Amphenol (APH),2024-10-24 23:29:06,TipRanks
aph,Amphenol’s Strong AI Sector Performance and Growth Potential Justify Buy Rating,2024-10-24 15:15:14,TipRanks
aph,Amphenol price target raised to $80 from $76 at Seaport Research,2024-10-24 13:30:43,TipRanks
aph,"New Buy Rating for Amphenol (APH), the Technology Giant",2024-10-24 12:26:45,TipRanks
aph,Amphenol price target raised to $82 from $76 at Truist,2024-10-24 12:21:09,TipRanks
aph,Stifel Nicolaus Reaffirms Their Hold Rating on Amphenol (APH),2024-10-24 12:16:28,TipRanks
aph,Amphenol (APH) Receives a Buy from Seaport Global,2024-10-24 12:05:40,TipRanks
aph,Amphenol (APH) Receives a New Rating from a Top Analyst,2024-10-24 11:39:43,TipRanks
aph,Amphenol price target raised to $77 from $71 at Baird,2024-10-24 10:55:45,TipRanks
aph,Amphenol price target raised to $74 from $70 at BofA,2024-10-23 20:35:45,TipRanks
aph,Amphenol seeing ‘incremental tick-down’ in Europe,2024-10-23 18:30:17,TipRanks
aph,"Amphenol Guides Q1, FY24 Above Estimates - Update",2024-10-23 14:17:37,RTTNews
aph,"Amphenol Corp. Q3 Profit Increases, Beats Estimates",2024-10-23 14:08:55,RTTNews
aph,Early notable gainers among liquid option names on October 23rd,2024-10-23 13:55:13,TipRanks
aph,Morning Movers: AT&T rises and Coca-Cola falls following quarterly reports,2024-10-23 13:00:34,TipRanks
aph,"Amphenol reports Q3 adjusted EPS 50c, consensus 45c",2024-10-23 12:12:08,TipRanks
aph,"Amphenol sees Q4 adjusted EPS 48c-50c, consensus 47c",2024-10-23 12:11:20,TipRanks
aph,"Amphenol sees FY24 adjusted EPS $1.82-$1.84, consensus $1.76",2024-10-23 12:10:25,TipRanks
aph,"Amphenol Non-GAAP EPS of $0.50 beats by $0.05, revenue of $4.04B beats by $230M",2024-10-23 12:01:59,Seeking Alpha
aph,Here's the major earnings before the open tomorrow,2024-10-22 22:00:06,Seeking Alpha
aph,Amphenol Q3 2024 Earnings Preview,2024-10-22 16:20:06,Seeking Alpha
aph,Amphenol call volume above normal and directionally bullish,2024-10-22 15:25:10,TipRanks
aph,Amphenol (APH): New Buy Recommendation for This Technology Giant,2024-10-21 11:56:42,TipRanks
aph,Amphenol placed on ‘Positive Catalyst Watch’ at JPMorgan,2024-10-21 10:20:05,TipRanks
aph,Balanced Hold Rating on Amphenol Amidst Mixed Sector Performance and Cautious Valuation,2024-10-09 10:47:09,TipRanks
aph,"With tech the top performing sector in 2024, these names could have more room to run",2024-09-27 12:30:54,Seeking Alpha
aph,"Tech is the top performing sector through Q3, see what names stick out",2024-09-24 14:00:46,Seeking Alpha
aph,"New Buy Rating for Amphenol (APH), the Technology Giant",2024-09-23 11:57:12,TipRanks
aph,Amphenol goes ex dividend tomorrow,2024-09-16 15:33:40,Seeking Alpha
aph,Least shorted S&P 500 stocks in August,2024-09-15 13:36:00,Seeking Alpha
aph,"Amphenol AI opportunity at risk, BofA says, downgrades to
 neutral",2024-09-04 11:52:11,Seeking Alpha
aph,Amphenol’s Stock Holds Strong Growth Potential Despite AI Sector Volatility: Analyst Top Pick with $75 Target Price,2024-09-03 19:45:15,TipRanks
aph,Is it time to make portfolio changes before the 2024 U.S. election?,2024-08-30 09:26:05,Seeking Alpha
aph,Amphenol (APH): New Buy Recommendation for This Technology Giant,2024-08-28 12:18:49,TipRanks
aph,The 10 most actionable policies if Harris wins this November - Jefferies,2024-08-23 18:41:21,Seeking Alpha
aph,Philippe Laffont's Coatue Management ups Nvidia stake by nearly tenfold among top Q2 moves,2024-08-15 21:21:59,Seeking Alpha
aph,Amphenol’s Growth and Efficiency Acknowledged Amid Valuation Concerns: Giordano Maintains Hold Rating,2024-08-01 20:35:29,TipRanks
aph,Analysts Offer Insights on Technology Companies: ams AG (OtherAUKUF) and Amphenol (APH),2024-07-28 01:40:43,TipRanks
aph,Analysts Offer Insights on Technology Companies: Amphenol (APH) and ServiceNow (NOW),2024-07-26 07:11:33,TipRanks
aph,Amphenol (APH): New Buy Recommendation for This Technology Giant,2024-07-25 12:47:19,TipRanks
aph,Stifel Nicolaus Reaffirms Their Hold Rating on Amphenol (APH),2024-07-25 11:25:49,TipRanks
aph,"Analysts Offer Insights on Technology Companies: ASGN (ASGN), Fortive (FTV) and Amphenol (APH)",2024-07-25 11:21:13,TipRanks
aph,Buy Rating for Amphenol: Strong Q2 Results and Strategic Market Positioning Signal Growth Ahead,2024-07-25 02:25:16,TipRanks
aph,"APH Stock Earnings: Amphenol Beats EPS, Beats Revenue for Q2 2024",2024-07-24 16:52:56,InvestorPlace
aph,"Amphenol Corp. Q2 Profit Increases, Beats Estimates",2024-07-24 14:09:25,RTTNews
aph,"Amphenol Non-GAAP EPS of $0.44 beats by $0.03, revenue of $3.61B beats by $230M",2024-07-24 12:07:10,Seeking Alpha
aph,Amphenol Q2 2024 Earnings Preview,2024-07-23 16:15:38,Seeking Alpha
aph,Amphenol earnings preview: what to expect,2024-07-23 15:01:13,Markets Insider Automation
aph,Notable earnings before Wednesday's open,2024-07-23 14:48:09,Seeking Alpha
aph,"New Buy Rating for Amphenol (APH), the Technology Giant",2024-07-22 13:05:16,TipRanks
aph,Amphenol (APH): New Buy Recommendation for This Technology Giant,2024-07-22 12:20:27,TipRanks
aph,Amphenol (APH): New Buy Recommendation for This Technology Giant,2024-07-22 11:06:36,TipRanks
aph,Strong Buy Rating for Amphenol on Strategic Acquisitions and Expected Earnings Growth,2024-07-19 08:46:58,TipRanks
aph,Amphenol To Buy CommScope's Mobile Network Businesses For $2.1 Bln In Cash,2024-07-18 15:52:52,RTTNews
aph,CommScope to sell OWN and DAS business unit to Amphenol Corporation for $2.1B in cash,2024-07-18 13:18:34,Seeking Alpha
aph,"Analysts say Supreme Court's Chevron ruling may limit action on climate, EVs",2024-07-15 00:15:00,Seeking Alpha
aph,Buy Rating Affirmed with Increased Price Target as Amphenol Expects Earnings Beat and Strong Growth,2024-07-10 10:36:23,TipRanks
aph,Assessing SMART Global Stock Ahead of Its Q3 Earnings,2024-07-05 18:50:19,Benzinga
aph,"Sapiens Benefits From a Strong Portfolio, Partner Base",2024-07-03 21:48:55,Benzinga
aph,3 Stocks The Wall Street Pros Don’t Want You to Know About,2024-06-21 16:29:28,InvestorPlace
aph,Analysts Offer Insights on Technology Companies: ODDITY Tech Ltd. Class A (ODD) and Amphenol (APH),2024-06-18 02:30:28,TipRanks
