Ticker,Title,Datetime,Source
ma,Wall Street is booming. Here's where the hot jobs are now.,2025-01-15 19:04:01,Business Insider
ma,MasterCard agrees to pay $26M to settle pay bias lawsuit,2025-01-15 11:10:46,TipRanks
ma,MasterCard price target raised to $595 from $576 at Barclays,2025-01-14 23:25:42,TipRanks
ma,"Lilly cuts FY24 outlook, United Rentals to acquire H&E: Morning Buzz",2025-01-14 17:00:54,TipRanks
ma,"Visa, Fiserv upgraded, Mastercard, Flywire cut at Seaport",2025-01-14 16:12:39,Seeking Alpha
ma,SA Charts: These companies are the biggest S&P 500 spenders on buybacks in Q3,2025-01-14 15:40:56,Seeking Alpha
ma,MasterCard price target raised to $584 from $572 at Citi,2025-01-14 15:00:41,TipRanks
ma,"Visa upgraded, MasterCard downgraded: Wall Street’s top analyst calls",2025-01-14 14:41:10,TipRanks
ma,Seaport downgrades MasterCard on preference for Visa in 2025,2025-01-14 12:46:53,TipRanks
ma,Visa upgraded to Buy at Seaport Research on U.S. exposure,2025-01-14 12:40:44,TipRanks
ma,MasterCard downgraded to Neutral from Buy at Seaport Research,2025-01-14 10:41:07,TipRanks
ma,Mastercard Reinforces Commitment To Ghana With The Opening Of New Office In Accra,2025-01-13 21:02:21,RTTNews
ma,Most and least shorted S&P 500 financial stocks in December,2025-01-13 18:52:04,Seeking Alpha
ma,"MasterCard expands operations in Africa, opens first office in Ghana",2025-01-13 14:36:07,TipRanks
ma,Capital One upgraded to Buy from Neutral at UBS,2025-01-13 12:25:54,TipRanks
ma,CFPB says green light for FDX to issue open banking standards,2025-01-08 22:49:12,Seeking Alpha
ma,Datavant is on the M&A hunt as the $7B health data company bulks up before a potential IPO,2025-01-07 11:02:01,Business Insider
ma,Analysts Offer Insights on Financial Companies: Mastercard (MA) and Interactive Brokers (IBKR),2025-01-05 09:21:00,TipRanks
ma,"Dividend Roundup: Johnson & Johnson, JPMorgan, Oracle, Mastercard, and more",2025-01-03 13:29:47,Seeking Alpha
ma,"Here's what Big Pharma could buy in 2025, from obesity drugs to precision cancer treatments, according to a top M&A banker",2025-01-03 11:02:00,Business Insider
ma,"U.S. credit card defaults at highest level since 2010, FT says",2024-12-30 14:40:42,TipRanks
ma,Wedbush hikes Apple target to high on Street: Morning Buzz,2024-12-26 17:00:44,TipRanks
ma,"Internal document: AWS has planned lower spending on ZT Systems, a data center gear maker being acquired by AMD",2024-12-26 15:46:01,Business Insider
ma,MasterCard SpendingPulse reports U.S. retail sales up 3.8%,2024-12-26 12:35:08,TipRanks
ma,"U.S. holiday spending climbs 4.8% Y/Y, Visa says",2024-12-23 16:47:39,Seeking Alpha
ma,Citi's 10 things to watch for in fintech in 2025,2024-12-22 21:25:16,Seeking Alpha
ma,"Costco stock no bargain, might be time to sell, Barron’s says",2024-12-22 12:30:10,TipRanks
ma,"VCs say digital agents, 'crypto mania,' and a torrent of liquidity are the tech trends to watch in 2025",2024-12-21 11:02:01,Business Insider
ma,"Analysts Offer Insights on Financial Companies: Mastercard (MA), PayPal Holdings (PYPL) and Truist Financial (TFC)",2024-12-20 18:08:39,TipRanks
ma,MasterCard completes acquisition of Recorded Future,2024-12-20 17:15:22,TipRanks
ma,"Dividend Roundup: Mastercard, Broadcom, Southwest Airlines, Waste Management, and more",2024-12-20 13:28:52,Seeking Alpha
ma,UBS’s global equity focus list: stocks within financial technology,2024-12-19 17:34:38,Seeking Alpha
ma,Deel has closed its 5th acquisition this year. Here's how its CEO decides which company to buy.,2024-12-19 10:02:01,Business Insider
ma,"MasterCard boosts dividend, Jabil reports Q1 beat: Morning Buzz",2024-12-18 17:00:52,TipRanks
ma,Least shorted S&P 500 stocks in November,2024-12-18 15:37:04,Seeking Alpha
ma,MasterCard price target raised to $654 from $564 at Morgan Stanley,2024-12-18 12:25:16,TipRanks
ma,Morgan Stanley Sticks to Its Buy Rating for Mastercard (MA),2024-12-18 11:35:33,TipRanks
ma,"CFPB again taking aim at credit card industry, rewards programs, WaPo reports",2024-12-18 11:15:39,TipRanks
ma,Mastercard board approves $12B stock buyback,2024-12-17 21:31:42,Seeking Alpha
ma,Mastercard increases dividend by ~15% to $0.76,2024-12-17 21:22:52,Seeking Alpha
ma,MasterCard raises quarterly dividend by 15% to 76c per share,2024-12-17 21:20:57,TipRanks
ma,MasterCard board approves new $12B buyback program,2024-12-17 21:20:43,TipRanks
ma,Most and least shorted S&P 500 financial stocks in November,2024-12-12 17:32:54,Seeking Alpha
ma,The biggest supermarket merger in US history is dead,2024-12-11 16:44:01,Business Insider
ma,BlackRock CFO Martin Small outlines the asset management giant's top 3 criteria for every acquisition,2024-12-11 10:02:02,Business Insider
ma,MasterCard price target raised to $610 from $590 at Jefferies,2024-12-09 15:30:32,TipRanks
ma,MasterCard price target raised to $618 from $580 at Keefe Bruyette,2024-12-09 13:20:05,TipRanks
ma,Payment processing firms track robust spending on Black Friday-Cyber Monday,2024-12-08 21:20:12,Seeking Alpha
ma,"Analysts Offer Insights on Financial Companies: Insurance Australia Group Limited (OtherIAUGF), Toronto Dominion Bank (TD) and Mastercard (MA)",2024-12-05 17:21:07,TipRanks
ma,Holiday season off to ‘healthy start’ with strong Black Friday-Cyber Monday,2024-12-04 17:05:33,TipRanks
ma,Mastercard reaches agreement in U.K. suit over card fees,2024-12-03 20:42:30,Seeking Alpha
ma,"BlackRock is buying HPS, rounding out a year of blockbuster deals",2024-12-03 11:02:01,Business Insider
ma,Mastercard (MA) Gets a Buy from Wells Fargo,2024-12-03 10:58:30,TipRanks
ma,Goldman Sachs: Go back to this investing strategy that beat the market during Trump's first term,2024-12-02 19:18:00,Business Insider
ma,"Early holiday spending data bode well for Visa, Mastercard, others, Citi says",2024-12-02 16:47:27,Seeking Alpha
ma,MasterCard price target lowered to $557 from $563 at Goldman Sachs,2024-12-02 12:17:51,TipRanks
ma,"Data shows Black Friday spending rose 3.4% year-over-year, Reuters reports",2024-12-01 12:05:10,TipRanks
ma,5 sectors that could see an uptick in dealmaking under Trump's second presidency,2024-11-28 19:42:02,Business Insider
ma,Kodak Retirement Income Plan Trust to sell some assets to Mastercard Foundation,2024-11-25 14:10:34,TipRanks
ma,BNY Mellon to manage U.S. Department of the Treasury’s Direct Express,2024-11-21 16:15:16,TipRanks
ma,Mastercard joins hands with JP Morgan to get foreign exchange on blockchain,2024-11-21 14:43:38,Seeking Alpha
ma,Mastercard’s Strategic Growth and Expansion: Analyst Buy Rating,2024-11-21 06:36:40,TipRanks
ma,Comcast doesn't want its cable TV networks anymore,2024-11-20 14:26:01,Business Insider
ma,Meet the Jersey Mike's founder now worth $7.5 billion after selling his sandwich chain to Blackstone,2024-11-20 13:32:01,Business Insider
ma,Crypto-trading platform Bakkt surges on Trump Media takeover talk,2024-11-19 12:44:01,Business Insider
ma,"Overweight-rated Financial stocks, as group’s outlook looks attractive - MS",2024-11-18 17:07:05,Seeking Alpha
ma,Quality cyclicals are expected to continue going up; here are the top-rated by Morgan Stanley,2024-11-18 16:45:31,Seeking Alpha
ma,MasterCard management to meet with Mizuho,2024-11-18 15:25:25,TipRanks
ma,Barclays Sticks to Their Buy Rating for Mastercard (MA),2024-11-18 09:07:15,TipRanks
