Ticker,Title,Datetime,Source
orcl,"Analysts’ Top Technology Picks: Wix (WIX), Oracle (ORCL)",2025-01-13 10:50:04,TipRanks
orcl,"New Buy Rating for Oracle (ORCL), the Technology Giant",2025-01-10 09:15:21,TipRanks
orcl,Piper Sandler Keeps Their Buy Rating on Oracle (ORCL),2025-01-06 11:48:51,TipRanks
orcl,"Dividend Roundup: Johnson & Johnson, JPMorgan, Oracle, Mastercard, and more",2025-01-03 13:29:47,Seeking Alpha
orcl,Oracle (ORCL) Receives a Rating Update from a Top Analyst,2025-01-03 07:55:25,TipRanks
orcl,"Nike downgraded, FedEx upgraded: Wall Street’s top analyst calls",2024-12-20 14:45:21,TipRanks
orcl,Oracle downgraded to Sell from Neutral at Monness Crespi,2024-12-20 12:45:18,TipRanks
orcl,Oracle downgraded to Sell from Neutral at Monness Crespi,2024-12-20 12:35:49,TipRanks
orcl,Why I’m Bearish on MongoDB (MDB) after Its CFO’s Departure,2024-12-18 22:56:16,TipRanks
orcl,Rimini Street trades higher after Craig-Hallum upgrades on latest court ruling in Oracle case,2024-12-17 13:14:41,Seeking Alpha
orcl,Craig-Hallum upgrades Rimini Street to Buy following court ruling,2024-12-17 12:40:21,TipRanks
orcl,Oracle price target raised to $210 from $205 at Wolfe Research,2024-12-16 07:20:26,TipRanks
orcl,Analysts Offer Insights on Technology Companies: Oracle (ORCL) and Zscaler (ZS),2024-12-15 21:20:07,TipRanks
orcl,Four out of six companies deliver EPS wins this week - Earnings Scorecard,2024-12-14 13:27:00,Seeking Alpha
orcl,Oracle’s Strategic Cloud Growth and Strong Financial Performance Bolster Buy Rating,2024-12-12 07:45:54,TipRanks
orcl,How to Play Oracle Stock (ORCL) with Options Strategies,2024-12-11 22:41:55,TipRanks
orcl,An Investment in C3.ai Stock Looks Risky Despite AI Tailwinds,2024-12-11 18:25:26,TipRanks
orcl,Oracle price target raised to $200 from $176 at Argus,2024-12-11 14:40:31,TipRanks
orcl,Oracle price target raised to $185 from $153 at Goldman Sachs,2024-12-10 22:25:23,TipRanks
